Fecha,Lote,Marca comercial,Principio activo,Dosis,Plaga o enfermedad,Maquina utilizada,Tiempo de carencia,Tipo de aplicación o riego,Operario responsable,Excedente,
29/7/20220,6-A,FFO,Microorg.,3,Mejoramiento de planta,Maqu 3 ptos,No Tiene,Riego,Cabral,,
,6-A,,,,,,,,,,
31/7/2020,6-A,Silución,Zn+Mg+Cu+,,Mejoramiento de planta,Mochila 20 lts,,"""",Aguirre,,
7/8/2020,6-A,Daconil,Clorotalonil,600/200,Fungosis,Mochila 20 lts,,Pulverizacion,Aguirre,,
12/8/2020,6-A,Rovral,Iprodione,450gr/450L,Botritys,Mochila 20 lts,,Pulverizacion,"""",,
14/8/2020,6-A,Oberon,Spiromesifen(I-A),125/250,Mosca blanca,Mochila 20 lts,,Pulverizacion,"""",,
17/8/2020,6-A,Mifos,Glifosato,700cc/100 lt,Malezas entresurco,Mochila 20 lts,,Pulverizacion,"""",,
19/8/2020,6-A,Mifos,Glifosato,700cc/100 lt,"""",Mochila 20 lts,,Pulverizacion,"""",,
21/8/2020,6-A,Silución,Zn+Mg+Cu+,200/100lt,Mejoramiento de planta,Mochila 20 lts,,Pulverizacion,"""",,
27/8/2020,6-A,Imi-Max,Imidaclorprid,338/450,Mosca blanca,Mochila 20 lts,,Pulverizacion,Aguirre,,
28/8/2020,6-A,Imi-Max,Imidaclorprid,37/50,Mosca blanca,Mochila 20 lts,,Pulverizacion,Aguirre,,
4/9/2020,6-A,Rovral,Iprodione,200/200,Botrytis,Mochila 20 lts,,Pulver,Aguirre,,
9/9/2020,6-A,Polvo de arcilla,Caolinita,,Botritys y resto fungi,Mochila espolvoreadora,,Fumigaci{on,Aguirre,,
10/9/2020,6-A,Triple 15,NPK,1kg/surco,,Manual y riego posterior,,Fertilizaci{on manual,Aguirre,,
12/9/2020,6-A,Ffo,Microorg.,5 lts,Mejoramiento de planta,Fertirriego 200 Lts,,Fertirriego,Cabral,,
29/9/2020,6-A,Daconil,clorotalonil,2 L,Botritys preventivo,Fertirriego 200 Lts,,Fertirriego,Cabral,,
1/10/2020,6-A,Sumilex,Procimidone,400/400,,Mochila 20 lts,,Pulverizacion,Aguirre,,
13/10/2020,6-A,Imi-Max,Imidaclorprid,300/400,Mosca blanca,Tractor/Tanque,,Pulverizacion,Aguirre,,
15/10/2020,6-A,Imi-Max,Imidaclorprid,150/400,Mosca blanca,Tractor/Tanque,,Pulverizacion,Aguirre,,
15/10/2020,6-A,Imi-Max,Imidaclorprid,262/350,Mosca blanca,Tractor/Tanque,,Pulverizacion,Aguirre,,
23/10/2020,6-A,Sumilex,Procimidone,200/200,Botr,Tractor/Tanque,,Pulverizacion,Aguirre,,
"""",6-A,Oberon,Spiromesifen(I-A),100/200,,Tractor/Tanque,,Pulverizacion,"""",,
"""",6-A,Afital,Fosfito de K,400/200,Mejoramiento de planta,Tractor/Tanque,,Pulverizacion,"""",,
26/10/2020,6-A,Tepeki,Flonicamid,/400,Mosca blanca,Fertirriego 200 Lts,,Fertirriego,"""",,
"""",6-A,Sumilex,Procimidone,600/600,Botr,Tractor/Tanque,,Pulverizacion,"""",,
"""",6-A,Oberon,Spiromesifen(I-A),300/600,Mosca blanca,Tractor/Tanque,,Pulverizacion,"""",,
29/10/2020,6-A,Falqat,Paraquat,550/80,Malezas entresurco,Moch,,"""","""",,
12/11/2020,6-A,Falqat,Paraquat,1050/150,Malezas entresurco,Moch,,Pulver,"""",,
12/11/2020,6-A,Falqat,Paraquat,1190/170,Malezas entresurco,Moch,,Pulver,"""",,
13/11/2020,6-A,Omite,Propargite,180/400,Arañuela,Tractor/Tanque,,Pulv,"""",,
"""",6-A,Movento,Spirotetramat,216/400,Mosca Blanca,Tractor/Tanque,,"""","""",,
17/11/2020,6-A,Movento,"""",480/800,Mosca blanca,Tractor/Tanque,,"""","""",,
"""",6-A,Afital,Fosfito de K,1600/800,Mejoramiento de planta,Tractor/Tanque,,"""","""",,
27/11/2020,6-A,Epingle,Piriproxifen,310/400,Mosca blanca,Tractor/Tanque,,Pulv,"""",,
"""",6-A,Insect,,240/400,Mosca blanca,Tractor/Tanque,,"""","""",,
30/7/2019,7-A,FFO,microorg.,8,Mejoramiento de planta,,No tiene,RIEGO,,,
5/8/2019,7-A,SILUCION,silicato de potasio,"0,2",Mejoramiento de planta,1,No tiene,Foliar,,0,
7/8/2019,7-A,RAIZAN,,2,Mejoramiento de planta,,No tiene,RIEGO,,,
12/8/2019,7-A,FFO,microorg.,2,Mejoramiento de planta,,No tiene,RIEGO,,,
15/8/2019,7-A,FFO,microorg.,2,Mejoramiento de planta,1,No tiene,Foliar,,0,
16/8/2019,7-A,FFO,microorg.,5,Mejoramiento de planta,,No tiene,RIEGO,,,
21/8/2019,7-A,RAIZAN,,2,Mejoramiento de planta,,No tiene,RIEGO,,,
27/8/2019,7-A,RAIZAN,,5,Mejoramiento de planta,,No tiene,RIEGO,,,
30/8/2019,7-A,SILUCION,silicato de potasio,"0,2",Mejoramiento de planta,,No tiene,RIEGO,,,
5/9/2019,7-A,RAIZAN,,"2,5",Mejoramiento de planta,,No tiene,RIEGO,,,
,7-A,FFO,microorg.,3,Mejoramiento de planta,,No tiene,RIEGO,,,
,7-A,,,,,,,,,,
,7-A,,,,,,,,,,
,7-A,,,,,,,,,,
,7-A,,,,,,,,,,
,7-A,,,,,,,,,,
13/11/2019,7-A,Oruis,,3,,,,,,,
17/7/2020,7-A,Cal +Oxicl Cu,,,Hongos suelo,,,,Changui,,
17/7/2020,7-A,FFo,,,Mejoramiento de planta,,,Foliar,Changui,Repetir en 10-15 dìas,
17/7/2020,7-A,FFO,microorg.,,Mejoramiento de planta,,,Riego,Cabral,,
31/7/2020,7-A,FFO,microorg.,,Mejoramiento de planta,,,Foliar,Changui,,
3/8/2020,7-A,AZOSPIRillum,microorg.,,Mejoramiento de planta,,,Drench,Changui,Julieta Redolatti ensayo,
12/8/2020,7-A,Silucion,Zn+Mg+Ca+ B,400/200,Mejoramiento de planta,,,Foliar,Changui,,
21/8/2020,7-A,FFO,Moo,5000cc/200,Mejoramiento de planta,,,Foliar,"""",,
27/8/2020,7-A,Solvigo,Abamectina+Tiametoxan,150/200,Mosca blanca,,,Foliar,"""",,
4/9/2020,7-A,Solvigo ,Abamectina+Tiametoxan,150/200,Mosca blanca,,,,,,
"""",7-A,Silucion,Zn+Mg+Ca+ B,400/200,Mejoramiento de planta,,,,,,
"""",7-A,Fertimax,,250-50,,,,,,,
12-sept,7-A,Azotrap Plus,,9,Mejoramiento de planta,,,Riego,Changui,,
21/9/2020,7-A,FFO,,2,Mejoramiento de planta,,,Riego,"""",,
22/9/2020,7-A,Silucion,Zn+Mg+Ca+ B,200,Mejoramiento de planta,,,Foliar,"""",,
22/9/2020,7-A,Atlante,Fosfito de potasio,200,Mejoramiento de planta,,,Foliar,"""",,
29/9/2020,7-A,Infinito,Propamocarb,50/100,Phytophtora,,,Drench,"""",,
2/10/2020,7-A,Silucion/Atlante,Minerales/Fosfito K,200-200/100,Mejoramiento de planta,,,Foliar,"""",,
12/10/2020,7-A,Silucion/Atlante,Minerales/Fosfito K,200-200/100,Mejoramiento de planta,,,Foliar,"""",,
23/10/2020,7-A,Afital,Fosfito de K ,600/300,Fung y Aporte P y K,,,Foliar,"""",,
"""",7-A,Tepeki,Flonicamid,90/300,Mosca blanca,,,Foliar,"""",,
"""",7-A,Silucion,Zn+Mg+Ca+ B,600/300,Mejoramiento de planta,,,Foliar,"""",,
26/10/2020,7-A,Infinito,Propamocarb,2000/300,Hongos suelo,,,Riego,Cabral,,
3/11/2020,7-A,Infinito,Propamocarb,2400/1200,Phytophtora,Mochila,,Drench ,Changui,,
5/11/2020,7-A,Infinito,Propamocarb,250/200,Phytophtora,Tractor,,Riego,Cabral,,
9/11/2020,7-A,Afital,Fosfito de K ,1400/700,Mejoramiento de planta,,,,,,
"""",7-A,Silucion,Zn+Mg+Ca+ B,1400/700,Mejoramiento de planta,,,,Changui,,
23/11/2020,7-A,Oberon,Spiromesifen(I-A),400/800,Mosca blanca,Tractor,,Pulveriz,"""",,
"""",7-A,Silucion,Zn+Mg+Ca+ B,1600/800,Mejoramiento de planta,,,,"""",,
"""",7-A,Afital,Fosfito de K ,1600/800,Mejoras (Fungi y ferti),Tractor,,Pulveriz,"""",,
27/11/2020,7-A,Tepeki,Flonicamid,600/300,Mosca blanca,Tractor,,Riego,Cabral,,
30/11/2020,7-A,Afital,Fosfito de K ,400-200,Mejoramiento de planta,,,Moch,,,
,7-A,Silucion,Zn+Mg+Ca+ B,400-200,Mejoramiento de planta,,,,Changui,,
5/12/2020,7-A,Mifos,Glifosato,2800/400,Control malezas fuera inv,Tract y pulver,,Pulveriz,"""",,
16/12/2020,7-A,Epingle,Piriproxifen,600/1000,Mosca blanca,Tract y pulver,,"""",Changui,,
"""",7-A,Insect,Tiociclam,465/1000,Mosca blanca,Tract y pulver,,"""","""",,
"""",7-A,Afital,Fosfito de K ,2000/1000,Mejoras (Fungi y ferti),Tract y pulver,,"""","""",,
17/12/2020,7-A,Epingle,Piriproxifen,240/400,Mosca blanca,Tract y pulver,,"""","""",,
,7-A,Movento,Spirotetramat,240/400,Mosca blanca,"""",,"""","""",,
,7-A,Afital,Fosfito de K ,800-400,Mejoras (Fungi y ferti),"""",,"""","""",,
19/12/2020,7-A,Tepeki,Flonicamid,600/300,Mosca blanca,Tract y riego,,Riego,Cabral,,
30/12/2020,7-A,Oberon,Spiromesifen(I-A),700/1400,Mosca blanca,"""",,,Changui,,
,7-A,Afital,Fosfito de K ,2800/1400,Mejoras (Fungi y ferti),"""",,,"""",,
18/1/2021,7-A,Movento,Spirotetramat,600/1000,Mosca blanca,"""",,,,,
,7-A,Afital,Fosfito de K ,2000/1000,Mejoras (Fungi y ferti),"""",,,"""",,
19/7/2019,7-B,FFO,,5,,,,RIEGO,,,
30/7/2019,7-B,FFO,,5,,,,RIEGO,,,
15/8/2019,7-B,FFO,,4,,,,RIEGO,,,
16/6/2020,7-B,Strike,Dicloropropene,,,,20,Riego,,,
14/8/2020,7-B,Silucion,Zn+Mg+Cu,200/100,Mejora planta,Mochila 20 l,,Pulverizacion,Luciano,,
25/8/2020,7-B,Imi-Max,Imidaclorprid,75/100,,,,,,,
,7-B,,,,,,,,,,
5/9/2020,7-B,Cota 4,SO4Cu penta,350/100,,Mochila 20 lts,,Pulverizacion,Luciano,,
10/9/2020,7-B,Polvo arcilla,Caolinita,6 mochilas,Botritys y resto fungi,Moch espolvoreadora,,Fumigacion,Luciano,,
12/9/2020,7-B,Granolito,CL,2 L,,,,,,,
14/9/2020,7-B,Proclaim,,30/100,Cogollero,Moch 20 l,,Pulverización,Luciano,,
"""",7-B,Silucion,Zn+Mg+Cu,200/100,Mejora planta,Mochila 20 l,,Pulverizacion,Luciano,,
19/10/2020,7-B,Miravis Top,Difenoconazole,1650/1100,Oidio,Mochila,,Pulverizacion,Luciano,,
"""",7-B,Afital,Fosfito de K,2200/1100,Fung y Aporte P y K,Mochila,,Pulverizacion,Luciano,,
"""",7-B,Silucion,Zn+Mg+Cu+Ca,2200/1100,Aporte de micro y macro,Mochila,,Pulveri,Luciano,,
23/10/2020,7-B,Sumilex,Procimidone,400/400,Prevent Botrytis,Tractor,,Tractor,Luciano,,
